index,word,,,,boundary,corrected,filler,comments,,,glossary,
1,okay,okay,29.719999,29.759999,1,,2,,,,0,non-boundary
2,so,so,29.929999,29.949999,0,,2,,,,1,clause boundary
3,they,they,29.95,30.02,0,,,,,,2,restart
4,began,began,31.23,31.8,0,,,,,,3,back to previous clause
5,with,with,31.799999,32.019999,0,,,,,,4,transient boundary
6,like,like,32.02,32.31,0,,1,,,,,
7,a,a,32.31,32.32,0,,,,,,,
8,dream,dream,32.95,33.52,0,,,,,,,
9,sequence,sequence,33.65,34.09,0,,,,,,,
10,of,of,34.23,34.81,0,,,,,,,
11,um,um,35.209999,35.599999,0,,1,,,,,
12,a,a,35.619999,35.709999,0,,,,,,,
13,shootout,shootout,35.709999,36.389999,1,,,,,,,
14,it's,it's,36.43,36.57,0,,,,,,,
15,during,during,36.799999,37.099999,0,,,,,,,
16,the,the,37.1,37.2,0,,,,,,,
17,day,day,37.25,37.7,1,,,,,,,
18,it,it,38.12,38.27,0,,,,,,,
19,looks,looks,38.46,38.66,0,,,,,,,
20,like,like,38.66,38.71,0,,,,,,,
21,its,,,,0,,,,,,,
22,in,,,,0,,,,,,,
23,a,a,39.28,39.34,0,,,,,,,
24,grassy,grassy,39.34,39.85,0,,,,,,,
25,field,field,39.91,40.26,0,,,,,,,
26,with,with,40.26,40.4,0,,,,,,,
27,some,some,40.65,40.93,0,,,,,,,
28,sort,sort,40.94,41.16,0,,,,,,,
29,of,of,41.16,41.36,0,,,,,,,
30,disheveled,<unk>,42.06,42.45,0,,,,,,,
31,like,like,42.76,43.04,0,,1,,,,,
32,half,half,43.31,43.62,0,,,,,,,
33,decomposed,decomposed,43.62,44.22,0,,,,,,,
34,building,building,44.22,44.79,1,,,,,,,
35,um,um,45.179999,45.589999,0,,1,,,,,
36,there's,,,,0,,,,,,,
37,a,a,45.78,45.83,0,,,,,,,
38,lot,lot,45.83,46.09,0,,,,,,,
39,of,of,46.09,46.52,0,,,,,,,
40,guys,guys,46.809999,47.229999,0,,,,,,,
41,in,in,47.3,47.88,0,,,,,,,
42,army,army,48.059999,48.459999,0,,,,,,,
43,gear,gear,48.55,48.96,0,,,,,,,
44,um,um,48.98,49.25,0,,1,,,,,
45,shooting,shooting,49.259999,49.759999,1,,,,,,,
46,it's,it's,50.179999,50.209999,0,,,,,,,
47,very,very,50.389999,50.429999,0,,,,,,,
48,chaotic,chaotic,50.429999,51.169999,1,,,,,,,
49,can't,,,,0,,,,,,,
50,really,really,51.549999,51.889999,0,,,,,,,
51,make,make,51.92,52.06,0,,,,,,,
52,out,out,52.17,52.42,0,,,,,,,
53,any,any,52.459999,52.719999,0,,,,,,,
54,faces,faces,52.879999,53.039999,0,,,,,,,
55,or,or,53.309999,53.649999,0,,,,,,,
56,really,really,53.889999,54.169999,0,,,,,,,
57,people,people,54.18,54.78,1,,,,,,,
58,um,um,55.63,56.26,0,,1,,,,,
59,and,and,56.56,56.72,0,,,,,,,
60,then,then,56.72,56.9,2,,2,she changed her mind,,,,
61,so,so,56.93,57.31,0,,2,,,,,
62,that,that,57.33,57.8,0,,,,,,,
63,uh,uh,58.14,58.44,0,,1,,,,,
64,cuts,cuts,58.49,58.76,0,,,,,,,
65,out,out,58.76,58.91,0,,,,,,,
66,really,really,58.91,59.07,0,,,,,,,
67,quickly,quickly,59.07,59.75,1,,,,,,,
68,and,and,59.91,59.94,0,,,,,,,
69,you,,,,0,,,,,,,
70,see,,,,0,,,,,,,
71,this,,,,0,,,,,,,
72,man,man,60.13,60.64,0,,,,,,,
73,kind,,,,0,,2,,,,,
74,of,,,,0,,2,,,,,
75,like,like,61.11,61.41,0,,1,not sure if 'kind of' and 'like' are separate,,,,
76,start,start,61.44,61.83,0,,,,,,,
77,out,out,61.93,62.06,0,,,,,,,
78,of,of,62.059999,62.209999,0,,,,,,,
79,the,the,62.22,62.4,0,,,,,,,
80,bed,bed,62.66,63.21,1,,,,,,,
81,it's,it's,63.26,63.29,0,,,,,,,
82,dark,dark,63.29,63.62,1,,,,,,,
83,looks,looks,63.849999,64.069999,0,,,,,,,
84,like,like,64.07,64.23,0,,,,,,,
85,it's,it's,64.39,64.42,0,,,,,,,
86,the,the,64.42,64.44,0,,,,,,,
87,middle,middle,64.44,64.78,0,,,,,,,
88,of,of,64.78,64.81,0,,,,,,,
89,the,the,64.81,64.86,0,,,,,,,
90,night,night,64.86,64.92,0,,,,,,,
91,or,or,65.09,65.14,0,,2,,,,,
92,something,something,65.139999,65.699999,1,,2,,,,,
93,and,and,66.309999,66.779999,0,,,,,,,
94,um,um,66.79,67.48,0,,1,,,,,
95,so,so,67.91,67.93,0,,2,,,,,
96,he,he,68.589999,68.749999,0,,,,,,,
97,just,just,68.75,68.9,0,,,,,,,
98,kind,kind,68.92,69.08,0,,2,,,,,
99,of,of,69.08,69.15,0,,2,,,,,
100,sits,sits,69.31,69.39,0,,,,,,,
101,up,up,69.58,69.69,0,,,,,,,
102,and,,,,0,,,,,,,
103,like,,,,0,,1,,,,,
104,sits,,,,0,,,,,,,
105,there,there,70.74,71.14,4,,,prosody,,,,
106,like,like,72.11,72.26,0,,1,,,,,
107,heaving,<unk>,72.559999,72.639999,0,,,,,,,
108,for,for,72.68,72.85,0,,,,,,,
109,a,a,72.85,72.93,0,,,,,,,
110,while,while,72.93,73.25,0,,,,,,,
111,like,like,73.56,73.59,0,,,,,,,
112,he,he,73.59,73.61,0,,,,,,,
113,just,just,73.61,73.65,0,,,,,,,
114,woke,woke,73.65,73.78,0,,,,,,,
115,up,up,73.8,73.87,0,,,,,,,
116,from,,,,0,,,,,,,
117,a,a,74.11,74.12,0,,,,,,,
118,nightmare,nightmare,74.12,74.52,0,,,,,,,
119,which,which,74.52,74.7,0,,,,,,,
120,is,is,74.7,74.87,0,,,,,,,
121,what,what,75.15,75.38,0,,,,,,,
122,we,we,75.38,75.55,0,,,,,,,
123,assume,,,,0,,,,,,,
124,that,that,75.84,76.02,0,,,,,,,
125,dream,dream,76.05,76.29,0,,,,,,,
126,was,was,76.29,76.52,1,,,,,,,
127,um,um,77.26,77.83,0,,1,,,,,
128,so,so,79.03,79.05,0,,2,,,,,
129,then,then,79.22,79.4,0,,,prosody,,,,
130,it,it,79.4,79.54,0,,,,,,,
131,cuts,cuts,79.54,79.82,0,,,,,,,
132,out,out,79.82,80.12,0,,,,,,,
133,to,to,80.85,80.87,0,,,,,,,
134,the,the,81.04,81.34,0,,,,,,,
135,daytime,daytime,81.8,82.29,1,,,,,,,
136,and,and,82.29,82.32,0,,,,,,,
137,we,we,82.45,82.6,0,,,,,,,
138,get,get,82.599999,82.809999,0,,,,,,,
139,like,like,82.809999,83.199999,0,,1,,,,,
140,an,an,83.42,83.44,0,,,,,,,
141,image,image,83.44,83.58,0,,,,,,,
142,of,of,83.58,83.74,0,,,,,,,
143,his,his,83.74,84.08,0,,,,,,,
144,apartment,apartment,84.5,85.16,1,,,,,,,
145,and,and,85.16,85.55,0,,,,,,,
145a,he's,,,,0,,,,,,,
146,kind,,,,0,,2,,,,,
147,of,,,,0,,2,,,,,
148,like,like,86.21,86.43,0,,1,not sure if 'kind of' and 'like' are separate,,,,
149,walking,walking,86.87,87.3,0,,,,,,,
150,around,around,87.299999,87.589999,1,,,,,,,
151,they,they,87.589999,87.689999,0,,,,,,,
152,have,have,87.69,87.87,0,,,,,,,
153,a,a,87.87,87.94,0,,,,,,,
154,shot,shot,87.94,88.31,0,,,,,,,
155,of,of,88.32,88.34,0,,,,,,,
156,his,his,88.609999,88.879999,0,,,,,,,
157,mug,mug,88.91,89.33,0,,,,,,,
158,which,which,89.33,89.51,0,,,,,,,
159,has,has,89.51,89.72,0,,,,,,,
160,some,some,89.76,89.97,0,,,,,,,
161,kind,kind,89.969999,90.199999,0,,,,,,,
162,of,of,90.199999,90.359999,0,,,,,,,
163,like,like,90.359999,90.679999,0,,1,not sure if 'kind of' and 'like' are separate,,,,
164,sign,sign,91.47,91.87,0,,,,,,,
165,on,on,91.87,92.05,0,,,,,,,
166,it,it,92.05,92.21,4,,,,,,,
167,like,like,92.27,92.43,0,,,,,,,
168,a,a,92.43,92.69,0,,,,,,,
169,crest,crest,92.85,93.25,0,,,,,,,
170,almost,almost,93.27,93.75,1,,,,,,,
171,and,and,94.25,94.48,0,,,,,,,
172,then,then,94.48,94.76,0,,,,,,,
173,um,um,94.92,95.39,0,,1,,,,,
174,there's,there's,95.43,95.48,0,,,,,,,
175,like,like,95.65,95.73,0,,1,,,,,
176,a,a,95.73,95.78,0,,,,,,,
177,quick,quick,95.78,96.03,0,,,,,,,
178,shot,shot,96.03,96.31,0,,,,,,,
179,too,too,96.31,96.48,0,,,,,,,
180,of,of,96.48,96.62,0,,,,,,,
181,a,a,96.76,96.83,0,,,,,,,
182,gun,gun,96.83,97.07,0,,,,,,,
183,and,and,97.07,97.18,0,,,,,,,
184,a,a,97.18,97.24,0,,,,,,,
185,notebook,notebook,97.24,97.73,1,,,,,,,
186,and,and,98.23,98.47,0,,,,,,,
187,then,then,98.47,98.83,0,,,,,,,
188,it,it,98.889999,99.159999,0,,,,,,,
189,cuts,cuts,99.2,99.5,0,,,,,,,
190,to,to,99.67,99.85,0,,,,,,,
191,another,another,99.849999,100.229999,0,,,,,,,
192,clip,clip,100.23,100.51,0,,,,,,,
193,of,of,100.51,100.57,0,,,,,,,
194,the,the,102.059999,102.339999,0,,,,,,,
195,same,same,102.38,102.65,0,,,,,,,
196,man,man,102.66,102.94,0,,,,,,,
197,sitting,sitting,102.969999,103.259999,0,,,,,,,
198,in,in,103.259999,103.419999,0,,,,,,,
199,front,front,103.45,103.73,0,,,,,,,
200,of,of,103.74,104.01,0,,,,,,,
201,what,what,104.009999,104.249999,0,,,,,,,
202,we,we,104.25,104.47,0,,,,,,,
203,can,can,104.48,104.62,0,,,,,,,
204,assume,assume,104.62,104.7,0,,,,,,,
205,is,is,104.7,104.72,0,,,,,,,
206,his,his,105.21,105.3,0,,,,,,,
207,therapist,therapist,105.299999,105.769999,1,,,,,,,
208,and,and,106.48,106.98,0,,,,,,,
209,um,um,107.139999,107.889999,0,,1,,,,,
210,they're,they're,108.7,108.92,0,,,,,,,
211,talking,talking,108.98,109.76,1,,,,,,,
212,she,she,110.32,110.4,0,,,,,,,
213,says,says,110.4,110.75,0,,,,,,,
214,something,something,110.76,111.17,0,,,,,,,
215,about,,,,0,,,,,,,
216,him,,,,0,,,,,,,
217,still,still,111.57,111.76,0,,,,,,,
218,having,having,111.76,112,0,,,,,,,
219,trust,trust,112,112.33,0,,,,,,,
220,issues,issues,112.33,112.78,1,,,,,,,
221,and,and,112.78,113.08,2,,,,,,,
222,or,or,113.4,113.5,0,,,,,,,
223,no,no,113.5,113.79,2,,,prosody,,,,
224,she,she,113.99,114.21,0,,,,,,,
225,writes,writes,114.21,114.57,0,,,,,,,
226,that,that,114.59,114.93,1,,,,,,,
227,and,and,114.95,115.11,0,,,,,,,
228,then,then,115.11,115.44,0,,,,,,,
